"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Im",NA,NA,NA,NA,NA,NA,NA
"2","Im","KmG",NA,NA,NA,NA,NA,NA
"3","Im","KmA",NA,NA,NA,NA,NA,NA
"4","Im","Gm",NA,NA,NA,NA,NA,NA
"5","Im","edemand",NA,NA,NA,NA,NA,NA
"6","Im","psi",NA,NA,NA,NA,NA,NA
"7","Im","eta",NA,NA,NA,NA,NA,NA
"8","Im","k",NA,NA,NA,NA,NA,NA
"9","Im","KmG","KmA",NA,NA,NA,NA,NA
"10","Im","KmG","Gm",NA,NA,NA,NA,NA
"11","Im","KmG","edemand",NA,NA,NA,NA,NA
"12","Im","KmG","psi",NA,NA,NA,NA,NA
"13","Im","KmG","eta",NA,NA,NA,NA,NA
"14","Im","KmG","k",NA,NA,NA,NA,NA
"15","Im","KmA","Gm",NA,NA,NA,NA,NA
"16","Im","KmA","edemand",NA,NA,NA,NA,NA
"17","Im","KmA","psi",NA,NA,NA,NA,NA
"18","Im","KmA","eta",NA,NA,NA,NA,NA
"19","Im","KmA","k",NA,NA,NA,NA,NA
"20","Im","Gm","edemand",NA,NA,NA,NA,NA
"21","Im","Gm","psi",NA,NA,NA,NA,NA
"22","Im","Gm","eta",NA,NA,NA,NA,NA
"23","Im","Gm","k",NA,NA,NA,NA,NA
"24","Im","edemand","psi",NA,NA,NA,NA,NA
"25","Im","edemand","eta",NA,NA,NA,NA,NA
"26","Im","edemand","k",NA,NA,NA,NA,NA
"27","Im","psi","eta",NA,NA,NA,NA,NA
"28","Im","psi","k",NA,NA,NA,NA,NA
"29","Im","eta","k",NA,NA,NA,NA,NA
"30","Im","KmG","KmA","Gm",NA,NA,NA,NA
"31","Im","KmG","KmA","edemand",NA,NA,NA,NA
"32","Im","KmG","KmA","psi",NA,NA,NA,NA
"33","Im","KmG","KmA","eta",NA,NA,NA,NA
"34","Im","KmG","KmA","k",NA,NA,NA,NA
"35","Im","KmG","Gm","edemand",NA,NA,NA,NA
"36","Im","KmG","Gm","psi",NA,NA,NA,NA
"37","Im","KmG","Gm","eta",NA,NA,NA,NA
"38","Im","KmG","Gm","k",NA,NA,NA,NA
"39","Im","KmG","edemand","psi",NA,NA,NA,NA
"40","Im","KmG","edemand","eta",NA,NA,NA,NA
"41","Im","KmG","edemand","k",NA,NA,NA,NA
"42","Im","KmG","psi","eta",NA,NA,NA,NA
"43","Im","KmG","psi","k",NA,NA,NA,NA
"44","Im","KmG","eta","k",NA,NA,NA,NA
"45","Im","KmA","Gm","edemand",NA,NA,NA,NA
"46","Im","KmA","Gm","psi",NA,NA,NA,NA
"47","Im","KmA","Gm","eta",NA,NA,NA,NA
"48","Im","KmA","Gm","k",NA,NA,NA,NA
"49","Im","KmA","edemand","psi",NA,NA,NA,NA
"50","Im","KmA","edemand","eta",NA,NA,NA,NA
"51","Im","KmA","edemand","k",NA,NA,NA,NA
"52","Im","KmA","psi","eta",NA,NA,NA,NA
"53","Im","KmA","psi","k",NA,NA,NA,NA
"54","Im","KmA","eta","k",NA,NA,NA,NA
"55","Im","Gm","edemand","psi",NA,NA,NA,NA
"56","Im","Gm","edemand","eta",NA,NA,NA,NA
"57","Im","Gm","edemand","k",NA,NA,NA,NA
"58","Im","Gm","psi","eta",NA,NA,NA,NA
"59","Im","Gm","psi","k",NA,NA,NA,NA
"60","Im","Gm","eta","k",NA,NA,NA,NA
"61","Im","edemand","psi","eta",NA,NA,NA,NA
"62","Im","edemand","psi","k",NA,NA,NA,NA
"63","Im","edemand","eta","k",NA,NA,NA,NA
"64","Im","psi","eta","k",NA,NA,NA,NA
"65","Im","KmG","KmA","Gm","edemand",NA,NA,NA
"66","Im","KmG","KmA","Gm","psi",NA,NA,NA
"67","Im","KmG","KmA","Gm","eta",NA,NA,NA
"68","Im","KmG","KmA","Gm","k",NA,NA,NA
"69","Im","KmG","KmA","edemand","psi",NA,NA,NA
"70","Im","KmG","KmA","edemand","eta",NA,NA,NA
"71","Im","KmG","KmA","edemand","k",NA,NA,NA
"72","Im","KmG","KmA","psi","eta",NA,NA,NA
"73","Im","KmG","KmA","psi","k",NA,NA,NA
"74","Im","KmG","KmA","eta","k",NA,NA,NA
"75","Im","KmG","Gm","edemand","psi",NA,NA,NA
"76","Im","KmG","Gm","edemand","eta",NA,NA,NA
"77","Im","KmG","Gm","edemand","k",NA,NA,NA
"78","Im","KmG","Gm","psi","eta",NA,NA,NA
"79","Im","KmG","Gm","psi","k",NA,NA,NA
"80","Im","KmG","Gm","eta","k",NA,NA,NA
"81","Im","KmG","edemand","psi","eta",NA,NA,NA
"82","Im","KmG","edemand","psi","k",NA,NA,NA
"83","Im","KmG","edemand","eta","k",NA,NA,NA
"84","Im","KmG","psi","eta","k",NA,NA,NA
"85","Im","KmA","Gm","edemand","psi",NA,NA,NA
"86","Im","KmA","Gm","edemand","eta",NA,NA,NA
"87","Im","KmA","Gm","edemand","k",NA,NA,NA
"88","Im","KmA","Gm","psi","eta",NA,NA,NA
"89","Im","KmA","Gm","psi","k",NA,NA,NA
"90","Im","KmA","Gm","eta","k",NA,NA,NA
"91","Im","KmA","edemand","psi","eta",NA,NA,NA
"92","Im","KmA","edemand","psi","k",NA,NA,NA
"93","Im","KmA","edemand","eta","k",NA,NA,NA
"94","Im","KmA","psi","eta","k",NA,NA,NA
"95","Im","Gm","edemand","psi","eta",NA,NA,NA
"96","Im","Gm","edemand","psi","k",NA,NA,NA
"97","Im","Gm","edemand","eta","k",NA,NA,NA
"98","Im","Gm","psi","eta","k",NA,NA,NA
"99","Im","edemand","psi","eta","k",NA,NA,NA
"100","Im","KmG","KmA","Gm","edemand","psi",NA,NA
"101","Im","KmG","KmA","Gm","edemand","eta",NA,NA
"102","Im","KmG","KmA","Gm","edemand","k",NA,NA
"103","Im","KmG","KmA","Gm","psi","eta",NA,NA
"104","Im","KmG","KmA","Gm","psi","k",NA,NA
"105","Im","KmG","KmA","Gm","eta","k",NA,NA
"106","Im","KmG","KmA","edemand","psi","eta",NA,NA
"107","Im","KmG","KmA","edemand","psi","k",NA,NA
"108","Im","KmG","KmA","edemand","eta","k",NA,NA
"109","Im","KmG","KmA","psi","eta","k",NA,NA
"110","Im","KmG","Gm","edemand","psi","eta",NA,NA
"111","Im","KmG","Gm","edemand","psi","k",NA,NA
"112","Im","KmG","Gm","edemand","eta","k",NA,NA
"113","Im","KmG","Gm","psi","eta","k",NA,NA
"114","Im","KmG","edemand","psi","eta","k",NA,NA
"115","Im","KmA","Gm","edemand","psi","eta",NA,NA
"116","Im","KmA","Gm","edemand","psi","k",NA,NA
"117","Im","KmA","Gm","edemand","eta","k",NA,NA
"118","Im","KmA","Gm","psi","eta","k",NA,NA
"119","Im","KmA","edemand","psi","eta","k",NA,NA
"120","Im","Gm","edemand","psi","eta","k",NA,NA
"121","Im","KmG","KmA","Gm","edemand","psi","eta",NA
"122","Im","KmG","KmA","Gm","edemand","psi","k",NA
"123","Im","KmG","KmA","Gm","edemand","eta","k",NA
"124","Im","KmG","KmA","Gm","psi","eta","k",NA
"125","Im","KmG","KmA","edemand","psi","eta","k",NA
"126","Im","KmG","Gm","edemand","psi","eta","k",NA
"127","Im","KmA","Gm","edemand","psi","eta","k",NA
"128","Im","KmG","KmA","Gm","edemand","psi","eta","k"
"129","KmG",NA,NA,NA,NA,NA,NA,NA
"130","KmG","KmA",NA,NA,NA,NA,NA,NA
"131","KmG","Gm",NA,NA,NA,NA,NA,NA
"132","KmG","edemand",NA,NA,NA,NA,NA,NA
"133","KmG","psi",NA,NA,NA,NA,NA,NA
"134","KmG","eta",NA,NA,NA,NA,NA,NA
"135","KmG","k",NA,NA,NA,NA,NA,NA
"136","KmG","KmA","Gm",NA,NA,NA,NA,NA
"137","KmG","KmA","edemand",NA,NA,NA,NA,NA
"138","KmG","KmA","psi",NA,NA,NA,NA,NA
"139","KmG","KmA","eta",NA,NA,NA,NA,NA
"140","KmG","KmA","k",NA,NA,NA,NA,NA
"141","KmG","Gm","edemand",NA,NA,NA,NA,NA
"142","KmG","Gm","psi",NA,NA,NA,NA,NA
"143","KmG","Gm","eta",NA,NA,NA,NA,NA
"144","KmG","Gm","k",NA,NA,NA,NA,NA
"145","KmG","edemand","psi",NA,NA,NA,NA,NA
"146","KmG","edemand","eta",NA,NA,NA,NA,NA
"147","KmG","edemand","k",NA,NA,NA,NA,NA
"148","KmG","psi","eta",NA,NA,NA,NA,NA
"149","KmG","psi","k",NA,NA,NA,NA,NA
"150","KmG","eta","k",NA,NA,NA,NA,NA
"151","KmG","KmA","Gm","edemand",NA,NA,NA,NA
"152","KmG","KmA","Gm","psi",NA,NA,NA,NA
"153","KmG","KmA","Gm","eta",NA,NA,NA,NA
"154","KmG","KmA","Gm","k",NA,NA,NA,NA
"155","KmG","KmA","edemand","psi",NA,NA,NA,NA
"156","KmG","KmA","edemand","eta",NA,NA,NA,NA
"157","KmG","KmA","edemand","k",NA,NA,NA,NA
"158","KmG","KmA","psi","eta",NA,NA,NA,NA
"159","KmG","KmA","psi","k",NA,NA,NA,NA
"160","KmG","KmA","eta","k",NA,NA,NA,NA
"161","KmG","Gm","edemand","psi",NA,NA,NA,NA
"162","KmG","Gm","edemand","eta",NA,NA,NA,NA
"163","KmG","Gm","edemand","k",NA,NA,NA,NA
"164","KmG","Gm","psi","eta",NA,NA,NA,NA
"165","KmG","Gm","psi","k",NA,NA,NA,NA
"166","KmG","Gm","eta","k",NA,NA,NA,NA
"167","KmG","edemand","psi","eta",NA,NA,NA,NA
"168","KmG","edemand","psi","k",NA,NA,NA,NA
"169","KmG","edemand","eta","k",NA,NA,NA,NA
"170","KmG","psi","eta","k",NA,NA,NA,NA
"171","KmG","KmA","Gm","edemand","psi",NA,NA,NA
"172","KmG","KmA","Gm","edemand","eta",NA,NA,NA
"173","KmG","KmA","Gm","edemand","k",NA,NA,NA
"174","KmG","KmA","Gm","psi","eta",NA,NA,NA
"175","KmG","KmA","Gm","psi","k",NA,NA,NA
"176","KmG","KmA","Gm","eta","k",NA,NA,NA
"177","KmG","KmA","edemand","psi","eta",NA,NA,NA
"178","KmG","KmA","edemand","psi","k",NA,NA,NA
"179","KmG","KmA","edemand","eta","k",NA,NA,NA
"180","KmG","KmA","psi","eta","k",NA,NA,NA
"181","KmG","Gm","edemand","psi","eta",NA,NA,NA
"182","KmG","Gm","edemand","psi","k",NA,NA,NA
"183","KmG","Gm","edemand","eta","k",NA,NA,NA
"184","KmG","Gm","psi","eta","k",NA,NA,NA
"185","KmG","edemand","psi","eta","k",NA,NA,NA
"186","KmG","KmA","Gm","edemand","psi","eta",NA,NA
"187","KmG","KmA","Gm","edemand","psi","k",NA,NA
"188","KmG","KmA","Gm","edemand","eta","k",NA,NA
"189","KmG","KmA","Gm","psi","eta","k",NA,NA
"190","KmG","KmA","edemand","psi","eta","k",NA,NA
"191","KmG","Gm","edemand","psi","eta","k",NA,NA
"192","KmG","KmA","Gm","edemand","psi","eta","k",NA
"193","KmA",NA,NA,NA,NA,NA,NA,NA
"194","KmA","Gm",NA,NA,NA,NA,NA,NA
"195","KmA","edemand",NA,NA,NA,NA,NA,NA
"196","KmA","psi",NA,NA,NA,NA,NA,NA
"197","KmA","eta",NA,NA,NA,NA,NA,NA
"198","KmA","k",NA,NA,NA,NA,NA,NA
"199","KmA","Gm","edemand",NA,NA,NA,NA,NA
"200","KmA","Gm","psi",NA,NA,NA,NA,NA
"201","KmA","Gm","eta",NA,NA,NA,NA,NA
"202","KmA","Gm","k",NA,NA,NA,NA,NA
"203","KmA","edemand","psi",NA,NA,NA,NA,NA
"204","KmA","edemand","eta",NA,NA,NA,NA,NA
"205","KmA","edemand","k",NA,NA,NA,NA,NA
"206","KmA","psi","eta",NA,NA,NA,NA,NA
"207","KmA","psi","k",NA,NA,NA,NA,NA
"208","KmA","eta","k",NA,NA,NA,NA,NA
"209","KmA","Gm","edemand","psi",NA,NA,NA,NA
"210","KmA","Gm","edemand","eta",NA,NA,NA,NA
"211","KmA","Gm","edemand","k",NA,NA,NA,NA
"212","KmA","Gm","psi","eta",NA,NA,NA,NA
"213","KmA","Gm","psi","k",NA,NA,NA,NA
"214","KmA","Gm","eta","k",NA,NA,NA,NA
"215","KmA","edemand","psi","eta",NA,NA,NA,NA
"216","KmA","edemand","psi","k",NA,NA,NA,NA
"217","KmA","edemand","eta","k",NA,NA,NA,NA
"218","KmA","psi","eta","k",NA,NA,NA,NA
"219","KmA","Gm","edemand","psi","eta",NA,NA,NA
"220","KmA","Gm","edemand","psi","k",NA,NA,NA
"221","KmA","Gm","edemand","eta","k",NA,NA,NA
"222","KmA","Gm","psi","eta","k",NA,NA,NA
"223","KmA","edemand","psi","eta","k",NA,NA,NA
"224","KmA","Gm","edemand","psi","eta","k",NA,NA
"225","Gm",NA,NA,NA,NA,NA,NA,NA
"226","Gm","edemand",NA,NA,NA,NA,NA,NA
"227","Gm","psi",NA,NA,NA,NA,NA,NA
"228","Gm","eta",NA,NA,NA,NA,NA,NA
"229","Gm","k",NA,NA,NA,NA,NA,NA
"230","Gm","edemand","psi",NA,NA,NA,NA,NA
"231","Gm","edemand","eta",NA,NA,NA,NA,NA
"232","Gm","edemand","k",NA,NA,NA,NA,NA
"233","Gm","psi","eta",NA,NA,NA,NA,NA
"234","Gm","psi","k",NA,NA,NA,NA,NA
"235","Gm","eta","k",NA,NA,NA,NA,NA
"236","Gm","edemand","psi","eta",NA,NA,NA,NA
"237","Gm","edemand","psi","k",NA,NA,NA,NA
"238","Gm","edemand","eta","k",NA,NA,NA,NA
"239","Gm","psi","eta","k",NA,NA,NA,NA
"240","Gm","edemand","psi","eta","k",NA,NA,NA
"241","edemand",NA,NA,NA,NA,NA,NA,NA
"242","edemand","psi",NA,NA,NA,NA,NA,NA
"243","edemand","eta",NA,NA,NA,NA,NA,NA
"244","edemand","k",NA,NA,NA,NA,NA,NA
"245","edemand","psi","eta",NA,NA,NA,NA,NA
"246","edemand","psi","k",NA,NA,NA,NA,NA
"247","edemand","eta","k",NA,NA,NA,NA,NA
"248","edemand","psi","eta","k",NA,NA,NA,NA
"249","psi",NA,NA,NA,NA,NA,NA,NA
"250","psi","eta",NA,NA,NA,NA,NA,NA
"251","psi","k",NA,NA,NA,NA,NA,NA
"252","psi","eta","k",NA,NA,NA,NA,NA
"253","eta",NA,NA,NA,NA,NA,NA,NA
"254","eta","k",NA,NA,NA,NA,NA,NA
"255","k",NA,NA,NA,NA,NA,NA,NA
